"","time","posX","posY","orientation","mac","signal","rawTime","angle","posXY","medSignal","avgSignal","num","sdSignal","iqrSignal","dist"
"3",2006-02-11 01:31:58,0,0,0,"00:0f:a3:39:e1:c0",-53,1139643118358,0,"0-0",-51,-51.1545454545455,110,1.40892543891092,2,9.7948966303887
"24507",2006-02-11 02:03:44,0,1,0.7,"00:0f:a3:39:e1:c0",-49,1139645024306,0,"0-1",-51,-50.5727272727273,110,2.19866135632567,3,9.18368117913509
"221774",2006-02-11 05:46:02,0,10,0.9,"00:0f:a3:39:e1:c0",-53,1139658362231,0,"0-10",-56,-56.2,110,1.12355922011299,1,8.36301381082203
"229185",2006-02-11 05:54:05,0,11,0.4,"00:0f:a3:39:e1:c0",-53,1139658845177,0,"0-11",-53,-54.6818181818182,110,3.42128206609937,7,8.85098864534353
"236489",2006-02-11 06:02:32,0,12,0.2,"00:0f:a3:39:e1:c0",-54,1139659352613,0,"0-12",-55,-56.6,110,3.56125944117239,7.75,9.42019108086455
"243539",2006-02-11 06:14:12,0,13,0.1,"00:0f:a3:39:e1:c0",-57,1139660052173,0,"0-13",-57,-56.8363636363636,110,1.42408684875396,1,10.0568384694197
"49625",2006-02-11 02:26:28,0,2,0.3,"00:0f:a3:39:e1:c0",-58,1139646388019,0,"0-2",-60,-59.9545454545455,110,2.66264117905016,4,8.64522989862039
"73864",2006-02-11 02:47:06,0,3,0.2,"00:0f:a3:39:e1:c0",-53,1139647626896,0,"0-3",-55,-55.5363636363636,110,2.17861698713822,3,8.1939001702486
"99008",2006-02-11 03:05:57,0,4,0.5,"00:0f:a3:39:e1:c0",-48,1139648757743,0,"0-4",-47,-48.0909090909091,110,2.67693325337705,5,7.84474346298208
"199295",2006-02-11 05:22:44,0,7,0.3,"00:0f:a3:39:e1:c0",-58,1139656964048,0,"0-7",-57,-57.3,110,2.01166323991509,2,7.53259583410659
"207187",2006-02-11 05:31:51,0,8,0.7,"00:0f:a3:39:e1:c0",-50,1139657511218,0,"0-8",-48,-49.7727272727273,110,5.82254254325863,3,7.69025357189215
"214634",2006-02-11 05:38:04,0,9,0.3,"00:0f:a3:39:e1:c0",-59,1139657884469,0,"0-9",-49,-50.9909090909091,110,4.54436934501954,2,7.97119815335185
"8313",2006-02-11 01:46:17,1,0,0,"00:0f:a3:39:e1:c0",-45,1139643977263,0,"1-0",-50,-48.5909090909091,110,2.97171823323053,5,9.05207158610668
"32848",2006-02-11 02:11:49,1,1,0.4,"00:0f:a3:39:e1:c0",-60,1139645509192,0,"1-1",-52,-54.0090909090909,110,7.21046061533088,3,8.3868945385047
"170127",2006-02-11 04:31:54,1,10,0.1,"00:0f:a3:39:e1:c0",-56,1139653914397,0,"1-10",-61,-59.5229357798165,109,2.79416167204786,5,7.47930478052606
"177657",2006-02-11 04:43:13,1,11,0.9,"00:0f:a3:39:e1:c0",-54,1139654593856,0,"1-11",-54,-53.8090909090909,110,1.71070807028887,1,8.02122185206219
"184971",2006-02-11 04:59:28,1,12,359.9,"00:0f:a3:39:e1:c0",-54,1139655568516,0,"1-12",-55,-55.2545454545455,110,1.28102856922187,2,8.64522989862039
"192298",2006-02-11 05:06:15,1,13,0.7,"00:0f:a3:39:e1:c0",-60,1139655975602,0,"1-13",-57,-57.2,110,1.96669517420898,3.75,9.33488082409197
"57598",2006-02-11 02:33:18,1,2,0.2,"00:0f:a3:39:e1:c0",-57,1139646798525,0,"1-2",-57,-57.0727272727273,110,1.89982660198188,2,7.79358710735949
"82305",2006-02-11 02:53:26,1,3,0.2,"00:0f:a3:39:e1:c0",-51,1139648006900,0,"1-3",-49,-50.4818181818182,110,3.61630309017833,5.75,7.28971878744304
"107322",2006-02-11 03:12:20,1,4,0.8,"00:0f:a3:39:e1:c0",-58,1139649140635,0,"1-4",-51,-50.6818181818182,110,2.50479107217802,3,6.89492567037528
"123372",2006-02-11 03:42:49,1,5,0.3,"00:0f:a3:39:e1:c0",-52,1139650969157,0,"1-5",-51,-52.4090909090909,110,2.57473773330983,5,6.62872536767062
