"","posXY","posX","posY","orientation","angle","00:0f:a3:39:dd:cd","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90"
"0-0","0-0",0,0,0,0,-69.8046870152948,-53.4760240228161,-66.1894312157949,-64.5375114462013,-38.8308580402466,-65.9178368115035,-56.2820341212522
"0-1","0-1",0,1,0.7,0,-70.9628412503413,-52.9087051709758,-66.1771811879649,-65.9169932519782,-39.8145962204239,-65.5116421921943,-58.0784070670426
"0-10","0-10",0,10,0.9,0,-68.9589435620686,-55.2582777314429,-65.0316059826199,-66.3663919362806,-45.3505747864211,-65.7879040960277,-52.28318526543
"0-11","0-11",0,11,0.4,0,-70.6075861778987,-54.166138260863,-67.9382950116368,-68.8455123950233,-48.0492883802004,-66.5569332562009,-55.262818599045
"0-12","0-12",0,12,0.2,0,-68.6264287665151,-54.45,-68.1784990577057,-70.8333195466276,-45.7097895978303,-68.2952236988869,-53.443219407081
"0-13","0-13",0,13,0.1,0,-72.9198119152678,-54.8443284193284,-70.7882105736033,-72.0702566995384,-45.4055496308483,-68.5963114664274,-55.126300553282
"0-2","0-2",0,2,0.3,0,-70.2339962559819,-55.8893939393939,-62.1368586108994,-62.1225564700707,-43.6941381905855,-62.7670239647016,-55.221444436732
"0-3","0-3",0,3,0.2,0,-69.5848070096428,-55.5431818181818,-63.1279497553644,-56.082266206586,-41.0900863623354,-62.0947676938342,-54.3977697894455
"0-4","0-4",0,4,0.5,0,-67.9027444762096,-52.0465596330275,-64.1201906208719,-59.3141406121121,-42.4966964097906,-62.7424123688752,-54.1160658769812
"0-7","0-7",0,7,0.3,0,-69.0427008380133,-56.0877488935975,-64.3637440983345,-64.1875097358902,-45.8535758901019,-54.5288158264067,-58.1307364464721
"0-8","0-8",0,8,0.7,0,-66.9712883541008,-52.8705796497081,-66.0988659128729,-63.4019694943245,-47.9885420924561,-54.7615499838366,-55.1002886652
"0-9","0-9",0,9,0.3,0,-66.5076118236669,-50.3068181818182,-66.3558553340406,-65.2900757122741,-47.3392565371082,-62.3614433482017,-53.6408607614731
"1-0","1-0",1,0,0,0,-69.6240506892769,-50.9204545454545,-63.2414248371624,-67.2064480834665,-36.7144742698463,-65.2033215063037,-55.0741316883793
"1-1","1-1",1,1,0.4,0,-67.6550804717949,-54.7513865721435,-63.5888371796545,-65.764600458684,-39.1682585818423,-65.9208678997898,-55.1355707606278
"1-10","1-10",1,10,0.1,0,-68.5106674856675,-54.6255942452043,-67.4157502952867,-70.9366314842446,-48.7855563143552,-65.4448794336985,-52.8491607358883
"1-11","1-11",1,11,0.9,0,-69.1778277165452,-54.2306818181818,-66.7772791315381,-69.4346130852454,-47.4023480380212,-64.6179088360788,-51.9014060371691
"1-12","1-12",1,12,359.9,0,-70.0406398212448,-54.1488636363636,-69.1735716272023,-70.6561503819192,-46.0812382988292,-68.5075617343435,-50.6655507816037
"1-13","1-13",1,13,0.7,0,-72.5732639705117,-57.3642514595496,-71.1424380138402,-74.1873035505131,-45.3732967404823,-69.1980234543528,-46.9292234548203
"1-2","1-2",1,2,0.2,0,-68.4840682453498,-56.9481811617706,-64.0868421481894,-60.0215351762078,-39.3920369870924,-63.6794551327185,-56.6661935084842
"1-3","1-3",1,3,0.2,0,-69.6805962795828,-54.4916597164304,-64.8924019556832,-55.6023261534402,-39.5633669555444,-59.4651825889992,-58.3451653401283
"1-4","1-4",1,4,0.8,0,-68.9248672058848,-52.5627637987013,-63.6267337700001,-59.917664500194,-44.5467130180992,-60.7883208984818,-56.5326478875091
"1-5","1-5",1,5,0.3,0,-68.7989431883927,-52.5875,-65.9666288915573,-63.95523400212,-40.3627002084907,-62.8049556621792,-56.4340086807966
"1-6","1-6",1,6,0.6,0,-67.1958151151146,-50.1514537264537,-65.6573309537449,-63.2730135158153,-46.6478780439487,-61.0272311926455,-54.5215504473489
"1-7","1-7",1,7,0.1,0,-68.5452326857717,-53.0704953076513,-66.2559563603494,-64.501400006287,-47.3785665822631,-51.8892345958971,-52.2863771588203
"1-8","1-8",1,8,0.7,0,-69.1990825922879,-52.9012784090909,-65.9411163813368,-63.4300504276873,-48.6187099402699,-52.6088086542289,-53.5069694899852
"1-9","1-9",1,9,0.5,0,-66.3916262830081,-52.2806818181818,-65.6656690270868,-64.4429043406623,-46.9378555137343,-63.7700823681315,-50.8570534363667
"10-3","10-3",10,3,0.4,0,-65.5900832077722,-48.269303316035,-52.4590118419279,-52.4402711400872,-55.2791022447237,-56.5551650652034,-70.0186190998538
"10-4","10-4",10,4,0.4,0,-65.3772547649491,-50.3014699749791,-50.1944869473649,-54.1608680630795,-57.3408298355691,-56.1973441211769,-69.2545630177324
"10-5","10-5",10,5,0.1,0,-61.0151882734433,-47.7897727272727,-49.7562664918992,-55.029543185685,-56.0823809571871,-57.4198731408717,-69.4674274518502
"10-6","10-6",10,6,1,0,-62.6978925637906,-44.2289312039312,-50.9400618126476,-58.8363366573613,-58.1163698906428,-57.5465381415872,-65.1887218949737
"10-7","10-7",10,7,0.7,0,-59.7730975798983,-46.8408569641368,-50.0079689007836,-60.3972715248179,-60.6673884388456,-54.0600470219434,-67.9682972451884
"10-8","10-8",10,8,0.6,0,-57.3706570773876,-44.6416564291564,-53.9785182239253,-60.6048690829751,-58.2991059761799,-52.4747505431256,-64.1410143062527
"11-3","11-3",11,3,359.9,0,-64.2889537264537,-49.5327564637198,-48.5245106665539,-53.7500631363134,-56.5469363568242,-58.3073993235639,-68.296274796368
"11-4","11-4",11,4,0.4,0,-67.2974841318591,-51.6306249953039,-51.8543538574596,-54.780823216404,-55.0855574509158,-59.8654379338087,-70.8592974399389
"11-5","11-5",11,5,0.3,0,-62.6095957874054,-49.1247497914929,-49.2297291982657,-60.6157909918873,-58.1442518828356,-58.0812634380205,-65.9056601125156
"11-6","11-6",11,6,0.1,0,-62.309445917527,-46.0096955796497,-50.6490940421601,-60.3030388703954,-57.352317838632,-55.6548080751476,-70.4308544409239
"11-7","11-7",11,7,0.7,0,-60.3959353696452,-47.0306818181818,-48.4744586260743,-59.3715420810679,-56.868086927688,-50.687520884989,-69.7280256723638
"11-8","11-8",11,8,0.3,0,-61.980823457386,-47.9065110565111,-50.1071482263261,-60.2765864666706,-59.4705303897741,-51.3311627427093,-69.0922165464281
"12-3","12-3",12,3,359.9,0,-67.2534803464849,-51.4033144904704,-46.3085337725403,-52.0591053373365,-58.4348167459083,-58.1639279780062,-68.6170872795186
"12-4","12-4",12,4,0.2,0,-67.5281089158383,-48.3264804003336,-50.0056484675576,-54.2428473986314,-57.6786146391076,-57.2586279141163,-68.1356920267425
"12-5","12-5",12,5,0.7,0,-67.4233755321457,-48.4859247879522,-51.9259790437999,-58.103715731035,-56.6325769851106,-58.3428510218915,-67.9958062581705
"12-6","12-6",12,6,0.8,0,-65.2613839285714,-50.3568181818182,-50.2583424364171,-61.0778924330961,-57.7632741694222,-56.8460557158709,-70.1526918473524
"12-7","12-7",12,7,0.7,0,-61.0027918107771,-50.2868849040867,-52.2021491841252,-56.6632983174796,-57.0553099618182,-48.4023568748097,-68.1273451159722
"12-8","12-8",12,8,0,0,-60.0774861183118,-49.88367003367,-52.3881094521402,-58.5022827013649,-57.0458171780765,-50.5093314254475,-69.7051152593169
"13-3","13-3",13,3,359.6,0,-69.3511035982366,-50.6638195795879,-49.4726956097944,-52.1330908382111,-57.4446246056851,-57.502586726735,-69.3722188836618
"13-4","13-4",13,4,0.7,0,-70.4601959777845,-50.3392165205239,-47.7488688484085,-54.573046491491,-56.2741691777036,-58.5222806733554,-68.7967489196702
"13-5","13-5",13,5,0.7,0,-67.0312956597631,-49.0284090909091,-48.3347621550056,-59.2963636255193,-53.9242362464888,-59.6289113070018,-68.7172909533803
"13-6","13-6",13,6,0.1,0,-64.4981254546395,-48.6653972153972,-51.7114855322881,-59.4192858314776,-54.4515476894653,-59.341077291274,-67.7553309162817
"13-7","13-7",13,7,0.3,0,-62.9701884674648,-46.6991034195163,-49.6601179202904,-57.6437458316578,-57.6692110917153,-50.3317575108221,-68.4419911498265
"13-8","13-8",13,8,0,0,-62.62857966335,-51.529670558799,-53.3793500995702,-59.5391641943067,-59.5063219785097,-53.1819002686132,-66.3963613087276
"14-3","14-3",14,3,0.1,0,-69.2056181942896,-52.3987240957548,-54.9856798879935,-50.225527215669,-58.8659700966957,-58.6703884473923,-72.9211402452529
"14-7","14-7",14,7,359.9,0,-66.5559743772401,-50.219713271718,-52.2092042802718,-58.2164767681827,-56.3899104784231,-47.9486648210701,-69.2452863363892
"14-8","14-8",14,8,0.5,0,-60.7820615390426,-50.9785758965805,-47.8783023260807,-57.9215972026206,-57.2319044188265,-52.5210373199983,-69.1712255974116
"15-3","15-3",15,3,0.6,0,-71.8009645188395,-54.598275376085,-53.9664734423116,-51.0360237135357,-62.013809091217,-57.750007829724,-71.4379847197089
"15-7","15-7",15,7,359.8,0,-66.219630942452,-50.8827356130108,-53.798373401224,-58.7177214236696,-59.1861138817015,-50.0789334633766,-72.4536055110703
"15-8","15-8",15,8,359.1,0,-65.2891450927575,-50.1829545454545,-53.427065364067,-58.8386343885514,-56.034158238626,-50.658586184942,-70.5073495661885
"16-3","16-3",16,3,0.2,0,-70.6737152289905,-54.9909090909091,-56.5471689200232,-52.4247440818514,-62.9599558381108,-57.4811464270805,-73.5160098514758
"16-7","16-7",16,7,0.4,0,-66.5148479583482,-52.2251146788991,-54.7141035472509,-55.254604359082,-58.9583372333042,-50.6634770084332,-72.3601642003571
"16-8","16-8",16,8,1.5,0,-68.8807652210175,-53.5465909090909,-52.8634609897935,-59.0009754773891,-57.5994864125854,-50.8591296264584,-73.6419093262814
"17-3","17-3",17,3,1,0,-72.6048976155054,-53.1813730849281,-55.332094719127,-54.7723662659643,-62.2171950287174,-56.1943324374556,-72.4128350872232
"17-7","17-7",17,7,7.9,0,-71.1012177001856,-52.7177476214747,-57.7333276200559,-56.1541242094241,-57.9651247183966,-45.2763151838877,-72.1783101768357
"17-8","17-8",17,8,1.2,0,-70.1435268092616,-53.5647727272727,-54.9713591307155,-54.9771565501436,-59.3798534960134,-51.1700558080944,-74.5183720475855
"18-3","18-3",18,3,0,0,-75.4626015298034,-53.5457094307562,-54.5276214816438,-50.2249455985299,-62.1345850498714,-56.9664893154447,-74.3152350859111
"18-7","18-7",18,7,0.4,0,-68.9311789061789,-51.885175145955,-60.1847678963535,-59.1429242103467,-60.7314087978301,-48.4704731749212,-71.6993928260495
"18-8","18-8",18,8,1.5,0,-64.7282581968386,-52.2193181818182,-59.341967842386,-59.0950994605144,-60.2301094233966,-51.1853973386525,-75.7120762426473
"19-3","19-3",19,3,0.3,0,-75.2513917361041,-56.0857068390325,-57.6503130376024,-49.9677102232353,-61.1715754621132,-55.4056629980009,-74.7097774049793
"19-7","19-7",19,7,359.3,0,-67.4417014178482,-52.7193181818182,-60.4651815971087,-57.8548042366871,-57.534955846398,-49.9306828839637,-72.6237582000689
"19-8","19-8",19,8,359.9,0,-69.4581794315166,-52.9961321934946,-58.6664181189137,-55.7214476648002,-60.4704769623022,-50.1015397511733,-72.5689931620375
