,isSpam,isRe,underscore,priority,isInReplyTo,sortedRec,subPunc,multipartText,hasImages,isPGPsigned,subSpamWords,noHost,numEnd,isYelling,isOrigMsg,isDear,isWrote,numLines,bodyCharCt,subExcCt,subQuesCt,numAtt,numRec,perCaps,hour,perHTML,subBlanks,forwards,avgWordLen,numDlr
0,0,T,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,50,1554,0,0,0.0,2,4.451038575667655,11.0,0.0,12.5,0.0,4.376623376623376,3
1,0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,26,873,0,0,0.0,1,7.491289198606272,11.0,0.0,7.9999999999999964,0.0,4.555555555555555,0
2,0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,38,1713,0,0,0.0,1,7.436096049573973,12.0,0.0,7.9999999999999964,0.0,4.817164179104478,0
3,0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,32,1095,0,0,0.0,0,5.090909090909091,13.0,0.0,18.918918918918916,3.125,4.714285714285714,0
4,0,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,31,1021,0,0,0.0,1,6.116642958748222,13.0,0.0,15.217391304347828,6.451612903225806,4.234939759036145,0
5,0,T,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,25,718,0,0,0.0,1,7.625272331154684,13.0,0.0,15.217391304347828,12.0,3.956896551724138,0
6,0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,38,1288,0,0,0.0,1,6.343713956170704,13.0,0.0,17.021276595744684,0.0,4.0514018691588785,0
7,0,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,T,39,1182,0,0,0.0,1,6.617647058823529,14.0,0.0,15.217391304347828,12.820512820512821,4.03960396039604,0
8,0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,126,5989,0,0,0.0,1,3.1613611416026344,14.0,0.0,6.25,0.0,4.405222437137331,0
9,0,T,F,F,T,T,F,F,F,F,F,F,F,F,F,F,F,50,1554,0,0,0.0,2,4.451038575667655,11.0,0.0,12.5,0.0,4.376623376623376,3
10,0,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,19,848,0,0,0.0,1,5.564648117839607,14.0,0.0,11.111111111111116,0.0,4.849206349206349,0
