,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
0,States,Alabama,2010,40,54,0
1,States,Alaska,2010,40,40,0
2,States,Arizona,2010,40,40,2.5
3,States,Arkansas,2010,40,15,0
4,States,California,2010,40,183,3.28
5,States,Colorado,2010,40,126,0.79
6,States,Connecticut,2010,40,54,0
7,States,Delaware,2010,40,75,4
8,States,District of Columbia,2010,40,14,0
9,States,Florida,2010,40,X,X
10,States,Georgia,2010,40,209,0.96
11,States,Hawaii,2010,40,83,10.84
12,States,Idaho,2010,40,X,X
13,States,Illinois,2010,40,44,0
14,States,Indiana,2010,40,88,0
15,States,Iowa,2010,40,46,0
16,States,Kansas,2010,40,X,X
17,States,Kentucky,2010,40,48,2.08
18,States,Louisiana,2010,40,121,3.31
19,States,Maine,2010,40,X,X
20,States,Maryland,2010,40,13,0
21,States,Massachusetts,2010,40,21,0
22,States,Michigan,2010,40,X,X
23,States,Minnesota,2010,40,51,1.96
24,States,Mississippi,2010,40,12,0
25,States,Missouri,2010,40,160,0
26,States,Montana,2010,40,21,0
27,States,Nebraska,2010,40,20,0
28,States,Nevada,2010,40,X,X
29,States,New Hampshire,2010,40,10,10
30,States,New Jersey,2010,40,X,X
31,States,New Mexico,2010,40,X,X
32,States,New York,2010,40,300,1
33,States,North Carolina,2010,40,X,X
34,States,North Dakota,2010,40,36,2.78
35,States,Ohio,2010,40,61,0
36,States,Oklahoma,2010,40,36,0
37,States,Oregon,2010,40,18,0
38,States,Pennsylvania,2010,40,176,0.57
39,States,Rhode Island,2010,40,X,X
40,States,South Carolina,2010,40,66,1.52
41,States,South Dakota,2010,40,21,0
42,States,Tennessee,2010,40,52,1.92
43,States,Texas,2010,40,301,0.66
44,States,Utah,2010,40,166,2.41
45,States,Vermont,2010,40,X,X
46,States,Virginia,2010,40,24,4.17
47,States,Washington,2010,40,126,1.59
48,States,West Virginia,2010,40,150,0
49,States,Wisconsin,2010,40,93,0
50,States,Wyoming,2010,40,26,0
51,States,Puerto Rico,2010,40,X,X
52,States,Virgin Islands,2010,40,0,0
53,States,New York City,2010,40,X,X
54,States,Alabama,2010,41,46,0
55,States,Alaska,2010,41,38,0
56,States,Arizona,2010,41,47,6.38
57,States,Arkansas,2010,41,20,5
58,States,California,2010,41,163,1.23
59,States,Colorado,2010,41,157,1.27
60,States,Connecticut,2010,41,57,1.75
61,States,Delaware,2010,41,73,1.37
62,States,District of Columbia,2010,41,X,X
63,States,Florida,2010,41,X,X
64,States,Georgia,2010,41,223,1.79
65,States,Hawaii,2010,41,217,7.83
66,States,Idaho,2010,41,X,X
67,States,Illinois,2010,41,40,10
68,States,Indiana,2010,41,97,0
69,States,Iowa,2010,41,46,0
70,States,Kansas,2010,41,10,0
71,States,Kentucky,2010,41,51,3.92
72,States,Louisiana,2010,41,130,1.54
73,States,Maine,2010,41,X,X
74,States,Maryland,2010,41,13,0
75,States,Massachusetts,2010,41,15,0
76,States,Michigan,2010,41,X,X
77,States,Minnesota,2010,41,64,3.13
78,States,Mississippi,2010,41,X,X
79,States,Missouri,2010,41,168,0
80,States,Montana,2010,41,X,X
81,States,Nebraska,2010,41,17,0
82,States,Nevada,2010,41,X,X
83,States,New Hampshire,2010,41,X,X
84,States,New Jersey,2010,41,X,X
85,States,New Mexico,2010,41,14,0
86,States,New York,2010,41,262,0.76
87,States,North Carolina,2010,41,14,0
88,States,North Dakota,2010,41,38,2.63
89,States,Ohio,2010,41,63,0
90,States,Oklahoma,2010,41,29,0
91,States,Oregon,2010,41,20,0
92,States,Pennsylvania,2010,41,164,0
93,States,Rhode Island,2010,41,X,X
