,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
0,States,Alabama,2015,40,167,2,3,2.99,1.2,1.8
1,States,Alaska,2015,40,X,X,X,X,X,X
2,States,Arizona,2015,40,55,0,0,0,0,0
3,States,Arkansas,2015,40,26,0,1,3.85,0,3.85
4,States,California,2015,40,683,2,0,0.29,0.29,0
5,States,Colorado,2015,40,255,0,1,0.39,0,0.39
6,States,Connecticut,2015,40,304,1,0,0.33,0.33,0
7,States,Delaware,2015,40,22,0,0,0,0,0
8,States,District of Columbia,2015,40,X,X,X,X,X,X
9,States,Florida,2015,40,X,X,X,X,X,X
10,States,Georgia,2015,40,518,6,5,2.12,1.16,0.97
11,States,Hawaii,2015,40,234,23,2,10.68,9.83,0.85
12,States,Idaho,2015,40,11,0,0,0,0,0
13,States,Illinois,2015,40,266,3,0,1.13,1.13,0
14,States,Indiana,2015,40,97,0,0,0,0,0
15,States,Iowa,2015,40,61,0,0,0,0,0
16,States,Kansas,2015,40,90,2,1,3.33,2.22,1.11
17,States,Kentucky,2015,40,205,1,0,0.49,0.49,0
18,States,Louisiana,2015,40,306,1,2,0.98,0.33,0.65
19,States,Maine,2015,40,X,X,X,X,X,X
20,States,Maryland,2015,40,27,0,0,0,0,0
21,States,Massachusetts,2015,40,259,1,2,1.16,0.39,0.77
22,States,Michigan,2015,40,492,9,0,1.83,1.83,0
23,States,Minnesota,2015,40,220,1,0,0.45,0.45,0
24,States,Mississippi,2015,40,140,1,0,0.71,0.71,0
25,States,Missouri,2015,40,432,0,0,0,0,0
26,States,Montana,2015,40,91,0,0,0,0,0
27,States,Nebraska,2015,40,38,0,0,0,0,0
28,States,Nevada,2015,40,X,X,X,X,X,X
29,States,New Hampshire,2015,40,21,0,0,0,0,0
30,States,New Jersey,2015,40,X,X,X,X,X,X
31,States,New Mexico,2015,40,182,0,0,0,0,0
32,States,New York,2015,40,1095,4,0,0.37,0.37,0
33,States,North Carolina,2015,40,133,0,1,0.75,0,0.75
34,States,North Dakota,2015,40,X,X,X,X,X,X
35,States,Ohio,2015,40,382,0,2,0.52,0,0.52
36,States,Oklahoma,2015,40,131,1,0,0.76,0.76,0
37,States,Oregon,2015,40,139,0,0,0,0,0
38,States,Pennsylvania,2015,40,364,0,1,0.27,0,0.27
39,States,Rhode Island,2015,40,X,X,X,X,X,X
40,States,South Carolina,2015,40,152,0,0,0,0,0
41,States,South Dakota,2015,40,134,0,0,0,0,0
42,States,Tennessee,2015,40,103,0,1,0.97,0,0.97
43,States,Texas,2015,40,1129,6,13,1.68,0.53,1.15
44,States,Utah,2015,40,335,0,0,0,0,0
45,States,Vermont,2015,40,91,0,1,1.1,0,1.1
46,States,Virginia,2015,40,156,0,0,0,0,0
47,States,Washington,2015,40,245,3,0,1.22,1.22,0
48,States,West Virginia,2015,40,327,0,0,0,0,0
49,States,Wisconsin,2015,40,681,1,1,0.29,0.15,0.15
50,States,Wyoming,2015,40,X,X,X,X,X,X
51,States,Puerto Rico,2015,40,0,0,0,0,0,0
52,States,Virgin Islands,2015,40,X,X,X,X,X,X
53,States,New York City,2015,40,X,X,X,X,X,X
54,States,Alabama,2015,41,167,2,1,1.8,1.2,0.6
55,States,Alaska,2015,41,X,X,X,X,X,X
56,States,Arizona,2015,41,71,0,0,0,0,0
57,States,Arkansas,2015,41,36,1,0,2.78,2.78,0
58,States,California,2015,41,661,3,2,0.76,0.45,0.3
59,States,Colorado,2015,41,281,2,0,0.71,0.71,0
60,States,Connecticut,2015,41,347,10,3,3.75,2.88,0.86
61,States,Delaware,2015,41,41,0,0,0,0,0
62,States,District of Columbia,2015,41,X,X,X,X,X,X
63,States,Florida,2015,41,X,X,X,X,X,X
64,States,Georgia,2015,41,483,0,2,0.41,0,0.41
65,States,Hawaii,2015,41,182,20,1,11.54,10.99,0.55
66,States,Idaho,2015,41,X,X,X,X,X,X
67,States,Illinois,2015,41,271,3,0,1.11,1.11,0
68,States,Indiana,2015,41,96,1,1,2.08,1.04,1.04
69,States,Iowa,2015,41,55,1,0,1.82,1.82,0
70,States,Kansas,2015,41,93,2,1,3.23,2.15,1.08
71,States,Kentucky,2015,41,231,0,0,0,0,0
72,States,Louisiana,2015,41,389,2,1,0.77,0.51,0.26
73,States,Maine,2015,41,X,X,X,X,X,X
74,States,Maryland,2015,41,46,0,0,0,0,0
75,States,Massachusetts,2015,41,256,1,1,0.78,0.39,0.39
76,States,Michigan,2015,41,534,8,2,1.87,1.5,0.37
77,States,Minnesota,2015,41,243,2,0,0.82,0.82,0
78,States,Mississippi,2015,41,147,2,0,1.36,1.36,0
79,States,Missouri,2015,41,487,2,2,0.82,0.41,0.41
80,States,Montana,2015,41,72,0,0,0,0,0
81,States,Nebraska,2015,41,55,0,2,3.64,0,3.64
82,States,Nevada,2015,41,12,0,0,0,0,0
83,States,New Hampshire,2015,41,23,0,0,0,0,0
84,States,New Jersey,2015,41,X,X,X,X,X,X
85,States,New Mexico,2015,41,218,0,0,0,0,0
86,States,New York,2015,41,1239,4,2,0.48,0.32,0.16
87,States,North Carolina,2015,41,146,0,2,1.37,0,1.37
88,States,North Dakota,2015,41,X,X,X,X,X,X
89,States,Ohio,2015,41,620,1,1,0.32,0.16,0.16
90,States,Oklahoma,2015,41,159,0,0,0,0,0
91,States,Oregon,2015,41,117,1,0,0.85,0.85,0
92,States,Pennsylvania,2015,41,463,1,1,0.43,0.22,0.22
93,States,Rhode Island,2015,41,X,X,X,X,X,X
94,States,South Carolina,2015,41,183,0,0,0,0,0
95,States,South Dakota,2015,41,109,0,0,0,0,0
96,States,Tennessee,2015,41,120,1,2,2.5,0.83,1.67
97,States,Texas,2015,41,1150,7,15,1.91,0.61,1.3
98,States,Utah,2015,41,362,0,0,0,0,0
99,States,Vermont,2015,41,110,0,0,0,0,0
100,States,Virginia,2015,41,174,1,0,0.57,0.57,0
101,States,Washington,2015,41,239,4,0,1.67,1.67,0
102,States,West Virginia,2015,41,373,0,3,0.8,0,0.8
103,States,Wisconsin,2015,41,593,0,2,0.34,0,0.34
104,States,Wyoming,2015,41,15,1,0,6.67,6.67,0
105,States,Puerto Rico,2015,41,0,0,0,0,0,0
106,States,Virgin Islands,2015,41,X,X,X,X,X,X
107,States,New York City,2015,41,X,X,X,X,X,X
108,States,Alabama,2015,42,193,4,1,2.59,2.07,0.52
109,States,Alaska,2015,42,X,X,X,X,X,X
110,States,Arizona,2015,42,74,0,0,0,0,0
111,States,Arkansas,2015,42,40,0,0,0,0,0
112,States,California,2015,42,609,2,0,0.33,0.33,0
113,States,Colorado,2015,42,281,1,1,0.71,0.36,0.36
