,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
0,States,Alabama,2010,40,54,0,0,0,0,0,0,0,0
1,States,Alaska,2010,40,40,0,0,0,0,0,0,0,0
2,States,Arizona,2010,40,40,2.5,0,0,1,0,0,0,0
3,States,Arkansas,2010,40,15,0,0,0,0,0,0,0,0
4,States,California,2010,40,183,3.28,2,0,3,0,0,1,0
5,States,Colorado,2010,40,126,0.79,0,0,1,0,0,0,0
6,States,Connecticut,2010,40,54,0,0,0,0,0,0,0,0
7,States,Delaware,2010,40,75,4,0,0,3,0,0,0,0
8,States,District of Columbia,2010,40,14,0,0,0,0,0,0,0,0
9,States,Florida,2010,40,X,X,X,X,X,X,X,X,X
10,States,Georgia,2010,40,209,0.96,0,0,0,0,0,2,0
11,States,Hawaii,2010,40,83,10.84,3,0,5,1,0,0,0
12,States,Idaho,2010,40,X,X,X,X,X,X,X,X,X
13,States,Illinois,2010,40,44,0,0,0,0,0,0,0,0
14,States,Indiana,2010,40,88,0,0,0,0,0,0,0,0
15,States,Iowa,2010,40,46,0,0,0,0,0,0,0,0
16,States,Kansas,2010,40,X,X,X,X,X,X,X,X,X
17,States,Kentucky,2010,40,48,2.08,1,0,0,0,0,0,0
18,States,Louisiana,2010,40,121,3.31,0,0,0,4,0,0,0
19,States,Maine,2010,40,X,X,X,X,X,X,X,X,X
20,States,Maryland,2010,40,13,0,0,0,0,0,0,0,0
21,States,Massachusetts,2010,40,21,0,0,0,0,0,0,0,0
22,States,Michigan,2010,40,X,X,X,X,X,X,X,X,X
23,States,Minnesota,2010,40,51,1.96,0,0,1,0,0,0,0
24,States,Mississippi,2010,40,12,0,0,0,0,0,0,0,0
25,States,Missouri,2010,40,160,0,0,0,0,0,0,0,0
26,States,Montana,2010,40,21,0,0,0,0,0,0,0,0
27,States,Nebraska,2010,40,20,0,0,0,0,0,0,0,0
