"","date","pce","pop","psavert","uempmed","unemploy","resid_mod1","lag1"
"2",1967-08-01,509.8,198911,12.6,4.7,2945,1265.56514064613,1281.51443459814
"3",1967-09-01,515.6,199113,11.9,4.6,2958,1252.02867140801,1265.56514064613
"4",1967-10-01,512.2,199311,12.9,4.9,3143,1229.67510255084,1252.02867140801
"5",1967-11-01,517.4,199498,12.8,4.7,3066,1216.97450974128,1229.67510255084
"6",1967-12-01,525.1,199657,11.8,4.8,3018,1209.4542195984,1216.97450974128
"7",1968-01-01,530.9,199808,11.7,5.1,2878,1200.79973021742,1209.4542195984
"8",1968-02-01,533.6,199920,12.3,4.5,3001,1192.77851955073,1200.79973021742
"9",1968-03-01,544.3,200056,11.7,4.1,2877,1190.45990659832,1192.77851955073
"10",1968-04-01,544,200208,12.3,4.6,2709,1175.60969212211,1190.45990659832
"11",1968-05-01,549.8,200361,12,4.4,2740,1166.76375255065,1175.60969212211
"12",1968-06-01,556.3,200536,11.7,4.4,2938,1156.51186088395,1166.76375255065
"13",1968-07-01,563.2,200706,10.7,4.5,2883,1147.13859469345,1156.51186088395
"14",1968-08-01,567,200898,10.5,4.2,2768,1132.5593764077,1147.13859469345
"15",1968-09-01,568.2,201095,10.6,4.6,2686,1114.90153264576,1132.5593764077
"16",1968-10-01,571.6,201290,10.8,4.8,2689,1099.6351390743,1114.90153264576
"17",1968-11-01,576.7,201466,10.6,4.4,2715,1087.88752231236,1099.6351390743
"18",1968-12-01,576.5,201621,11.1,4.4,2685,1072.85013255043,1087.88752231236
"19",1969-01-01,583.5,201760,10.3,4.4,2718,1066.54434431231,1072.85013255043
"20",1969-02-01,588.7,201881,9.7,4.9,2692,1060.16160778848,1066.54434431231
"21",1969-03-01,588.9,202023,10.2,4,2712,1046.76864426464,1060.16160778848
"22",1969-04-01,593.9,202161,9.7,4,2758,1038.55858112176,1046.76864426464
"23",1969-05-01,600.3,202331,10.1,4.2,2713,1028.68531493126,1038.55858112176
"24",1969-06-01,600.9,202507,11.1,4.4,2816,1012.43769816932,1028.68531493126
"25",1969-07-01,602.7,202677,11.8,4.4,2868,997.964431978812,1012.43769816932
"26",1969-08-01,609.9,202877,11.5,4.4,2856,986.019412931159,997.964431978812
"27",1969-09-01,613.2,203090,11.6,4.7,3040,968.929967645406,986.019412931159
"28",1969-10-01,618.5,203302,11.4,4.5,3049,953.936247454893,968.929967645406
"29",1969-11-01,620.5,203500,11.6,4.8,2856,936.982678597715,953.936247454893
"30",1969-12-01,622.8,203675,11.8,4.6,2884,922.530786931018,936.982678597715
"31",1970-01-01,628.7,203849,11.8,4.6,3201,911.774620359558,922.530786931018
"32",1970-02-01,634,204008,11.7,4.5,3453,901.854330216673,911.774620359558
"33",1970-03-01,632.3,204156,12.4,4.6,3635,885.987016121409,901.854330216673
"34",1970-04-01,636,204401,13.3,4.1,3797,866.234367788032,885.987016121409
"35",1970-05-01,642.4,204607,12.4,4.7,3919,852.914998168948,866.234367788032
"36",1970-06-01,646.3,204830,12.3,4.9,4071,835.468301930813,852.914998168948
"37",1970-07-01,648.5,205052,13.5,5.1,4175,816.417330787917,835.468301930813
"38",1970-08-01,652.9,205295,13.4,5.4,4256,797.556132645017,816.417330787917
"39",1970-09-01,659.1,205540,12.9,5.2,4456,780.303484311641,797.556132645017
"40",1970-10-01,658.3,205788,13.1,5.2,4591,755.763660692549,780.303484311641
"41",1970-11-01,656.6,206024,13.6,5.6,4898,731.472538216317,755.763660692549
"42",1970-12-01,665.6,206238,13.2,5.9,5076,719.987367835326,731.472538216317
"43",1971-01-01,676.1,206466,13.3,6.2,4986,708.662046121,719.987367835326
"44",1971-02-01,679.4,206668,13.3,6.3,4903,692.625576882869,708.662046121
"45",1971-03-01,682,206855,13.5,6.4,4987,677.324984073312,692.625576882869
"46",1971-04-01,688.8,207065,13.2,6.5,4959,664.022714073275,677.324984073312
"47",1971-05-01,691.1,207260,13.6,6.7,4996,647.656320501812,664.022714073275
"48",1971-06-01,699.8,207462,14.7,5.7,4949,637.019851263681,647.656320501812
"49",1971-07-01,698.9,207661,13.8,6.2,5035,617.070557311266,637.019851263681
"50",1971-08-01,704.9,207881,13.6,6.4,5134,602.011036358846,617.070557311266
"51",1971-09-01,713,208114,13.3,5.8,5042,587.807089168328,602.011036358846
"52",1971-10-01,715.8,208345,13.3,6.5,4954,568.494592168287,587.807089168328
"53",1971-11-01,720.9,208555,13.1,6.4,5161,553.49232216825,568.494592168287
"54",1971-12-01,728.4,208740,13,6.2,5154,543.283179549171,553.49232216825
"55",1972-01-01,731.5,208917,12.5,6.2,5019,529.439837691996,543.283179549171
"56",1972-02-01,736.2,209061,12.8,6.6,4928,520.355423977684,529.439837691996
"57",1972-03-01,749.2,209212,11.8,6.6,5038,518.900934596705,520.355423977684
"58",1972-04-01,752.5,209386,11.5,6.7,4959,505.544768025247,518.900934596705
"59",1972-05-01,758,209545,11.7,6.6,4922,495.824477882361,505.544768025247
"60",1972-06-01,761.6,209725,11.7,5.4,4923,482.193960739472,495.824477882361
"61",1972-07-01,769.9,209896,11.7,6.1,4913,474.124969453728,482.193960739472
"62",1972-08-01,776.3,210075,12,6,4939,463.390177406077,474.124969453728
"63",1972-09-01,781.1,210278,12.2,5.6,4849,448.757983072707,463.390177406077
"64",1972-10-01,794.9,210479,13,5.7,4875,443.317238929815,448.757983072707
"65",1972-11-01,800.5,210656,13.6,5.7,4602,431.973897072641,443.317238929815
"66",1972-12-01,806.1,210821,13.7,6.1,4543,421.779256358326,431.973897072641
"67",1973-01-01,816.5,210985,12.4,5.7,4326,416.48034073925,421.779256358326
