pdq,Seasonal PDQ,AIC
"(0, 0, 0)","(0, 0, 0, 52)",4257.333327
"(0, 0, 0)","(0, 0, 1, 52)",4061.350306466994
"(0, 0, 0)","(0, 1, 0, 52)",3073.8259007223855
"(0, 0, 0)","(0, 1, 1, 52)",2065.9136678976474
"(0, 0, 0)","(1, 0, 0, 52)",3091.1393910422566
"(0, 0, 0)","(1, 0, 1, 52)",5378.75433238346
"(0, 0, 0)","(1, 1, 0, 52)",2083.3518021045984
"(0, 0, 0)","(1, 1, 1, 52)",2067.2658520873065
"(0, 0, 0)","(2, 0, 0, 52)",2085.3297022100533
"(0, 0, 0)","(2, 0, 1, 52)",3852.6017685245765
"(0, 0, 0)","(2, 1, 0, 52)",949.2209525998177
"(0, 0, 0)","(2, 1, 1, 52)",924.1524700279698
"(0, 0, 0)","(3, 0, 0, 52)",856.274308697824
"(0, 0, 0)","(3, 0, 1, 52)",902.3746418194943
"(0, 0, 0)","(3, 1, 0, 52)",8.0
"(0, 0, 0)","(3, 1, 1, 52)",10.0
"(0, 0, 0)","(4, 0, 0, 52)",10.0
"(0, 0, 0)","(4, 0, 1, 52)",12.0
"(0, 0, 0)","(4, 1, 0, 52)",10.0
"(0, 0, 0)","(4, 1, 1, 52)",12.0
"(0, 0, 1)","(0, 0, 0, 52)",4085.894565659599
"(0, 0, 1)","(0, 0, 1, 52)",nan
"(0, 0, 1)","(0, 1, 0, 52)",2937.2218505871833
"(0, 0, 1)","(0, 1, 1, 52)",1921.8200741697187
"(0, 0, 1)","(1, 0, 0, 52)",2905.231807484414
"(0, 0, 1)","(1, 0, 1, 52)",nan
"(0, 0, 1)","(1, 1, 0, 52)",1958.6264966123426
"(0, 0, 1)","(1, 1, 1, 52)",1923.8199611529756
"(0, 0, 1)","(2, 0, 0, 52)",2056.8217501305535
"(0, 0, 1)","(2, 0, 1, 52)",7623.3989111268675
"(0, 0, 1)","(2, 1, 0, 52)",905.2159001820895
"(0, 0, 1)","(2, 1, 1, 52)",877.2030566968239
"(0, 0, 1)","(3, 0, 0, 52)",841.9087602085049
"(0, 0, 1)","(3, 0, 1, 52)",1715.4100183299017
"(0, 0, 1)","(3, 1, 0, 52)",10.0
"(0, 0, 1)","(3, 1, 1, 52)",12.0
"(0, 0, 1)","(4, 0, 0, 52)",12.0
"(0, 0, 1)","(4, 0, 1, 52)",14.0
"(0, 0, 1)","(4, 1, 0, 52)",12.0
"(0, 0, 1)","(4, 1, 1, 52)",14.0
"(0, 1, 0)","(0, 0, 0, 52)",3558.591589827058
"(0, 1, 0)","(0, 0, 1, 52)",2704.277682694094
"(0, 1, 0)","(0, 1, 0, 52)",2712.316810740349
"(0, 1, 0)","(0, 1, 1, 52)",1782.0704024725694
"(0, 1, 0)","(1, 0, 0, 52)",2685.1793694805147
"(0, 1, 0)","(1, 0, 1, 52)",7035.016901550918
"(0, 1, 0)","(1, 1, 0, 52)",1817.708488602299
"(0, 1, 0)","(1, 1, 1, 52)",1783.4938787521437
"(0, 1, 0)","(2, 0, 0, 52)",1805.8692479959363
"(0, 1, 0)","(2, 0, 1, 52)",2094.590291421263
"(0, 1, 0)","(2, 1, 0, 52)",838.4206161491746
"(0, 1, 0)","(2, 1, 1, 52)",836.9268710116602
"(0, 1, 0)","(3, 0, 0, 52)",832.5193581411944
"(0, 1, 0)","(3, 0, 1, 52)",2141.1761393312627
"(0, 1, 0)","(3, 1, 0, 52)",8.0
"(0, 1, 0)","(3, 1, 1, 52)",10.0
"(0, 1, 0)","(4, 0, 0, 52)",10.0
"(0, 1, 0)","(4, 0, 1, 52)",12.0
"(0, 1, 0)","(4, 1, 0, 52)",10.0
"(0, 1, 0)","(4, 1, 1, 52)",12.0
"(0, 1, 1)","(0, 0, 0, 52)",3459.826960017636
"(0, 1, 1)","(0, 0, 1, 52)",11917.62078984936
"(0, 1, 1)","(0, 1, 0, 52)",2655.458365605059
"(0, 1, 1)","(0, 1, 1, 52)",1739.0837062774224
