"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"0-0","0-0",0,0,-53.8090909090909,-66.1001463818077,-64.8830736587309,-43.0709538696031,-68.0192088792512,-57.3983493098662,0
"0-1","0-1",0,1,-52.5848484848485,-67.8238474771352,-67.8494497293758,-40.8957732102127,-64.9782116973642,-58.2519975399254,0
"0-10","0-10",0,10,-54.8030303030303,-65.652209492635,-63.9988967691095,-46.1025783718964,-64.9506704980843,-51.5107270865335,0
"0-11","0-11",0,11,-53.4090909090909,-69.4872098859861,-70.8191196669516,-46.6871157881487,-66.3414722134234,-55.8861180038599,0
"0-12","0-12",0,12,-53.2969696969697,-68.0095516569201,-70.6521773683061,-47.2938720538721,-67.2635981665393,-54.8470074898646,0
"0-13","0-13",0,13,-55.9697242697243,-70.6790335241233,-71.447488210587,-45.1176749074167,-67.7965881485827,-54.7928233141617,0
"0-2","0-2",0,2,-56.1969696969697,-62.3169495643722,-62.8705328744189,-44.4024242424242,-65.4357528232033,-57.2206870598355,0
"0-3","0-3",0,3,-54.1878787878788,-62.5489316073689,-57.8293906810036,-42.6975558799443,-61.2765060546182,-53.553935446519,0
"0-4","0-4",0,4,-50.2817347789825,-64.5405907526236,-59.4364071920758,-44.3036849590666,-64.6300366300366,-56.2359901433692,0
"0-7","0-7",0,7,-57.6883514039477,-63.4800627240143,-64.0487187300123,-47.1684154809451,-54.470911276388,-57.2038557572265,0
"0-8","0-8",0,8,-53.3636363636364,-66.2620764092538,-64.7799489605045,-49.6143324349413,-56.9179761011434,-54.3303980526919,0
"0-9","0-9",0,9,-51.6454545454545,-67.0449410774411,-65.4828762584636,-49.2809523809524,-63.3780626780627,-54.5894001164822,0
"1-0","1-0",1,0,-50.2787878787879,-62.0838077403246,-67.5210934312526,-42.6899765917603,-64.5583098789755,-52.2050927314954,0
"1-1","1-1",1,1,-54.1764247984431,-62.1784484217653,-66.3072966507177,-43.5876565002779,-64.1620925030456,-55.2739642761819,0
"1-10","1-10",1,10,-55.2015846538782,-66.0667197633405,-71.3709114959115,-51.2875494071146,-65.0427736006683,-53.1555752867185,0
"1-11","1-11",1,11,-55.0030303030303,-65.7030715615621,-69.7168668954996,-47.0581350517735,-64.0433748403576,-51.1724789915966,0
"1-12","1-12",1,12,-53.8121212121212,-68.0340843619826,-71.5869296497165,-45.5610389426163,-66.2949573834405,-46.44454390354,0
"1-13","1-13",1,13,-56.3909090909091,-71.3931784589679,-74.2177304964539,-49.5385868943345,-69.0474940838404,-43.908074857388,0
"1-2","1-2",1,2,-56.6298860161245,-64.5826397300241,-60.812240752074,-39.8627615372466,-63.4120699827812,-56.6615794083957,0
"1-3","1-3",1,3,-51.6909090909091,-65.8135926573427,-57.5087331649832,-40.4308929241807,-61.2888267086034,-57.4324169530355,0
"1-4","1-4",1,4,-53.2666666666667,-63.991634656012,-61.4774901058428,-43.0250824029771,-61.3635758690132,-55.7447823576034,0
"1-5","1-5",1,5,-55.3151515151515,-68.3375455079031,-64.8985337594018,-41.5265015863288,-62.7459981878587,-55.5356086439846,0
"1-6","1-6",1,6,-49.5463008463008,-66.5935804565176,-64.2659601634321,-44.9063803601051,-60.9693741360408,-53.8156412307897,0
"1-7","1-7",1,7,-52.6636363636364,-68.2023126976543,-66.096572335855,-49.0538998729086,-53.2498675911214,-51.3825374810118,0
"1-8","1-8",1,8,-53.030303030303,-67.0428414608702,-64.4353672643146,-50.1312298071912,-55.5764522514523,-52.9640695252321,0
"1-9","1-9",1,9,-53.0424242424242,-67.2291438180888,-65.4748636516837,-46.4836649690258,-64.541499330656,-52.7251791751183,0
"10-3","10-3",10,3,-46.4817785397296,-52.7392486655645,-53.7080280830281,-52.9818482905983,-56.6728110599078,-70.9711431204229,0
"10-4","10-4",10,4,-49.3645259938838,-51.2881647940075,-55.8002426918007,-56.2686092508845,-55.8546896958158,-68.5869188337273,0
"10-5","10-5",10,5,-46.3393939393939,-51.5455512229706,-55.7450640275044,-56.3573500724288,-57.7139645089736,-71.7455337690632,0
"10-6","10-6",10,6,-43.268058968059,-50.7475234804182,-58.691319916039,-57.2676655567888,-54.8410566142525,-64.3090463555034,0
"10-7","10-7",10,7,-47.9090909090909,-48.8792643062562,-59.2019844418208,-61.7326381221118,-56.915774156305,-65.9743714877255,0
"10-8","10-8",10,8,-45.7393939393939,-52.9865293454491,-60.2666189282731,-58.0171481918239,-54.8899971009909,-63.7592690517503,0
"11-3","11-3",11,3,-48.7151515151515,-50.6004329004329,-54.006920613132,-54.4407281431091,-60.1285890707008,-67.7741364960466,0
"11-4","11-4",11,4,-52.7218946218946,-52.9723263467258,-56.2173252279635,-55.7869129438717,-58.4616153778109,-72.0347985347985,0
"11-5","11-5",11,5,-49.3909646927996,-49.5512002452367,-59.6655292306789,-57.1244816461217,-56.0546340753674,-66.3880732900876,0
"11-6","11-6",11,6,-47.2939393939394,-51.0534722222222,-60.1492424242424,-58.052764720526,-55.5569208894371,-70.0033184358081,0
"11-7","11-7",11,7,-47.8121212121212,-48.9261450967792,-60.1956994959492,-55.6704678362573,-52.5256741250717,-69.0493529097752,0
"11-8","11-8",11,8,-46.2545454545455,-47.0292260930559,-61.1584440062038,-58.48952482794,-53.7792192613371,-68.5529929684185,0
"12-3","12-3",12,3,-49.8258528197366,-48.6761689677633,-53.8036516278403,-55.6536111111111,-58.6599597928309,-66.6817258037648,0
"12-4","12-4",12,4,-48.5625521267723,-53.3815428483159,-55.3080444326975,-55.6862501231136,-57.5864917656757,-67.3843583492485,0
"12-5","12-5",12,5,-47.3030303030303,-51.2855564684461,-57.1017789144643,-55.3436254186869,-59.3313849271296,-68.9637758456095,0
"12-6","12-6",12,6,-50.4454545454545,-51.4279213282001,-60.7562724014337,-58.1581588835212,-55.7617261544666,-68.9288111320684,0
